,SensorData.Acceleration.X,SensorData.Acceleration.Y,SensorData.Acceleration.Z,SensorData.Time,SensorData.Rotation.X,SensorData.Rotation.Y,SensorData.Rotation.Z,SensorData.Temperature
127,-0.08,-0.02,9.38,2023-12-10 21:01:44,-0.00,0.01,-0.02,29.94
128,-0.08,-0.02,9.37,2023-12-10 21:01:47,-0.00,0.01,-0.02,29.95
129,-0.07,0.00,9.37,2023-12-10 21:01:49,-0.00,0.01,-0.02,29.94
130,-0.08,-0.04,9.36,2023-12-10 21:01:51,-0.00,0.01,-0.02,29.95
131,-0.08,-0.04,9.38,2023-12-10 21:01:54,-0.00,0.01,-0.03,29.96
132,-0.06,0.00,9.37,2023-12-10 21:01:56,-0.00,0.01,-0.02,29.95
133,-0.08,-0.02,9.35,2023-12-10 21:01:59,-0.00,0.01,-0.02,29.96
134,-0.08,-0.01,9.37,2023-12-10 21:02:01,-0.00,0.01,-0.02,29.97
135,-0.07,-0.00,9.35,2023-12-10 21:02:04,-0.00,0.01,-0.02,29.99
136,-0.04,-0.01,9.38,2023-12-10 21:02:06,-0.00,0.01,-0.02,29.99
137,-0.07,-0.03,9.37,2023-12-10 21:02:09,-0.00,0.01,-0.02,29.98
138,-0.07,-0.01,9.39,2023-12-10 21:02:11,-0.00,0.01,-0.02,29.99
139,-0.07,-0.01,9.34,2023-12-10 21:02:13,-0.00,0.01,-0.03,30.00
140,-0.08,-0.04,9.37,2023-12-10 21:02:16,-0.00,0.01,-0.02,29.97
141,-0.07,-0.01,9.36,2023-12-10 21:02:18,-0.00,0.01,-0.02,29.97
142,-0.08,-0.02,9.38,2023-12-10 21:02:21,-0.00,0.01,-0.02,29.94
143,-0.07,-0.01,9.35,2023-12-10 21:02:23,-0.00,0.01,-0.02,29.98
144,-0.06,-0.00,9.38,2023-12-10 21:02:26,-0.00,0.01,-0.02,29.97
145,-0.09,-0.05,9.36,2023-12-10 21:02:28,-0.00,0.01,-0.02,29.99
146,-0.06,-0.01,9.37,2023-12-10 21:02:31,-0.00,0.01,-0.02,29.98
147,-0.08,-0.01,9.37,2023-12-10 21:02:33,-0.00,0.01,-0.02,29.99
148,-0.06,-0.01,9.34,2023-12-10 21:02:36,-0.00,0.01,-0.02,29.98
149,-0.07,-0.03,9.33,2023-12-10 21:02:38,-0.00,0.01,-0.02,29.98
150,-0.07,-0.03,9.38,2023-12-10 21:02:41,-0.00,0.01,-0.02,29.99
151,-0.09,-0.01,9.35,2023-12-10 21:02:43,-0.00,0.02,-0.02,30.00
152,-0.10,-0.02,9.37,2023-12-10 21:02:45,-0.00,0.01,-0.02,29.98
153,-0.09,-0.03,9.35,2023-12-10 21:02:49,-0.00,0.01,-0.02,29.97
154,-0.09,-0.02,9.38,2023-12-10 21:02:52,-0.00,0.01,-0.02,29.96
155,-0.07,-0.02,9.35,2023-12-10 21:02:55,-0.00,0.01,-0.02,29.96
156,-0.06,-0.02,9.38,2023-12-10 21:02:58,-0.00,0.01,-0.02,29.96
157,-0.07,-0.02,9.39,2023-12-10 21:03:00,-0.00,0.01,-0.02,29.97
158,-0.07,-0.02,9.35,2023-12-10 21:03:03,-0.00,0.01,-0.02,29.96
159,-0.09,-0.02,9.38,2023-12-10 21:03:06,-0.00,0.01,-0.02,29.96
160,-0.06,-0.02,9.36,2023-12-10 21:03:08,-0.00,0.01,-0.02,29.97
161,-0.08,-0.02,9.36,2023-12-10 21:03:11,-0.00,0.01,-0.02,29.98
162,-0.09,-0.04,9.38,2023-12-10 21:03:13,-0.00,0.01,-0.02,29.97
163,-0.09,-0.03,9.36,2023-12-10 21:03:16,-0.00,0.01,-0.02,29.99
164,-0.08,-0.03,9.38,2023-12-10 21:03:18,-0.00,0.01,-0.02,30.00
165,-0.07,-0.02,9.34,2023-12-10 21:03:21,-0.00,0.01,-0.02,29.99
166,-0.08,-0.01,9.39,2023-12-10 21:03:23,-0.00,0.01,-0.02,29.98
167,-0.06,-0.02,9.39,2023-12-10 21:03:31,-0.00,0.01,-0.02,29.99
168,-0.09,-0.01,9.37,2023-12-10 21:03:39,-0.00,0.01,-0.02,29.99
169,-0.08,0.00,9.37,2023-12-10 21:03:46,-0.00,0.01,-0.02,29.99
170,-0.10,-0.04,9.34,2023-12-10 21:03:48,-0.00,0.01,-0.02,30.00
171,-0.07,-0.03,9.35,2023-12-10 21:03:49,-0.00,0.01,-0.02,30.00
172,-0.07,0.01,9.35,2023-12-10 21:03:52,-0.00,0.01,-0.02,30.01
173,-0.07,-0.02,9.37,2023-12-10 21:03:56,-0.00,0.01,-0.02,29.98
174,-0.08,-0.02,9.38,2023-12-10 21:03:58,-0.00,0.01,-0.02,29.98
175,-0.07,-0.02,9.38,2023-12-10 21:03:59,-0.00,0.01,-0.02,29.97
176,-0.07,-0.01,9.37,2023-12-10 21:04:02,-0.00,0.01,-0.02,30.02
177,-0.07,-0.02,9.36,2023-12-10 21:04:03,-0.00,0.01,-0.02,30.00
178,-0.06,-0.00,9.39,2023-12-10 21:04:05,-0.00,0.01,-0.02,29.99
179,-0.06,-0.00,9.36,2023-12-10 21:04:07,-0.00,0.01,-0.02,30.00
180,-0.08,-0.01,9.39,2023-12-10 21:04:08,-0.00,0.01,-0.02,30.00
181,-0.07,-0.01,9.36,2023-12-10 21:04:10,-0.00,0.01,-0.02,29.99
182,-0.06,-0.02,9.36,2023-12-10 21:04:12,-0.00,0.01,-0.02,29.99
183,-0.09,-0.02,9.37,2023-12-10 21:04:13,-0.00,0.01,-0.02,29.99
184,-0.07,0.00,9.37,2023-12-10 21:04:15,-0.00,0.01,-0.02,29.98
185,-0.06,-0.00,9.37,2023-12-10 21:04:16,-0.00,0.01,-0.02,30.01
186,-0.08,-0.02,9.36,2023-12-10 21:04:18,-0.00,0.01,-0.02,29.99
187,-0.06,0.02,9.37,2023-12-10 21:04:20,-0.00,0.01,-0.02,30.01
188,-0.07,-0.03,9.39,2023-12-10 21:04:22,-0.00,0.01,-0.02,30.01
189,-0.07,-0.02,9.36,2023-12-10 21:04:24,-0.00,0.01,-0.02,29.99
190,-0.07,-0.04,9.38,2023-12-10 21:04:25,-0.00,0.01,-0.02,30.00
191,-0.07,0.01,9.36,2023-12-10 21:04:27,-0.00,0.01,-0.02,30.01
192,-0.07,-0.02,9.39,2023-12-10 21:04:28,-0.00,0.01,-0.02,30.01
193,-0.07,-0.01,9.37,2023-12-10 21:04:31,-0.00,0.01,-0.02,30.00
194,-0.06,-0.04,9.34,2023-12-10 21:04:33,-0.00,0.01,-0.02,30.00
195,-0.08,0.01,9.37,2023-12-10 21:04:36,-0.00,0.01,-0.02,29.99
196,-0.05,-0.02,9.38,2023-12-10 21:04:38,-0.00,0.01,-0.02,30.01
197,-0.07,-0.02,9.38,2023-12-10 21:04:41,-0.00,0.01,-0.02,29.99
198,-0.06,-0.01,9.35,2023-12-10 21:04:43,-0.00,0.01,-0.02,30.02
199,-0.06,-0.03,9.34,2023-12-10 21:04:45,-0.00,0.01,-0.02,30.00
200,-0.07,0.01,9.39,2023-12-10 21:04:48,-0.00,0.01,-0.02,29.99
